PP_3251_2,PP_3265_1,PP_3265_2,PP_3265_3,PP_6014_1,PP_6014_2,PP_6015_1,PP_6036_1,PP_6036_2,PP_6038_1,PP_6038_2,PP_6127_1
869.6993727,766.5853798,766.5853798,766.5853798,989.5733742,989.5733742,1075.978576,1190.270865,1190.270865,1052.384002,1052.384002,887.9247464
870.881672,766.2733793,766.2733793,766.2733793,990.9186343,990.9186343,1077.441298,1189.786425,1189.786425,1051.955681,1051.955681,887.5633607
870.881672,766.68938,766.68938,766.68938,990.9186343,990.9186343,1077.441298,1190.432346,1190.432346,1052.526775,1052.526775,888.0452083
870.881672,765.9613787,765.9613787,765.9613787,990.9186343,990.9186343,1077.441298,1189.301984,1189.301984,1051.52736,1051.52736,887.2019749
872.536891,766.1693791,766.1693791,766.1693791,992.8019985,992.8019985,1079.48911,1189.624945,1189.624945,1051.812907,1051.812907,887.4428988
871.5910515,766.4813796,766.4813796,766.4813796,991.7257904,991.7257904,1078.318932,1190.109385,1190.109385,1052.241228,1052.241228,887.8042845
872.3004312,766.2733793,766.2733793,766.2733793,992.5329465,992.5329465,1079.196565,1189.786425,1189.786425,1051.955681,1051.955681,887.5633607
871.5910515,766.1693791,766.1693791,766.1693791,991.7257904,991.7257904,1078.318932,1189.624945,1189.624945,1051.812907,1051.812907,887.4428988
871.1181318,766.0653789,766.0653789,766.0653789,991.1876864,991.1876864,1077.733843,1189.463464,1189.463464,1051.670134,1051.670134,887.3224368
870.6452121,766.1693791,766.1693791,766.1693791,990.6495823,990.6495823,1077.148754,1189.624945,1189.624945,1051.812907,1051.812907,887.4428988
870.4087523,766.1693791,766.1693791,766.1693791,990.3805303,990.3805303,1076.856209,1189.624945,1189.624945,1051.812907,1051.812907,887.4428988
870.6452121,766.5853798,766.5853798,766.5853798,990.6495823,990.6495823,1077.148754,1190.270865,1190.270865,1052.384002,1052.384002,887.9247464
871.1181318,766.5853798,766.5853798,766.5853798,991.1876864,991.1876864,1077.733843,1190.270865,1190.270865,1052.384002,1052.384002,887.9247464
869.6993727,765.8573785,765.8573785,765.8573785,989.5733742,989.5733742,1075.978576,1189.140504,1189.140504,1051.384587,1051.384587,887.081513
870.881672,766.68938,766.68938,766.68938,990.9186343,990.9186343,1077.441298,1190.432346,1190.432346,1052.526775,1052.526775,888.0452083
869.9358326,766.5853798,766.5853798,766.5853798,989.8424262,989.8424262,1076.27112,1190.270865,1190.270865,1052.384002,1052.384002,887.9247464
871.1181318,766.7933802,766.7933802,766.7933802,991.1876864,991.1876864,1077.733843,1190.593827,1190.593827,1052.669549,1052.669549,888.1656702
871.1181318,767.0013806,767.0013806,767.0013806,991.1876864,991.1876864,1077.733843,1190.916787,1190.916787,1052.955096,1052.955096,888.406594
870.6452121,767.0013806,767.0013806,767.0013806,990.6495823,990.6495823,1077.148754,1190.916787,1190.916787,1052.955096,1052.955096,888.406594
871.5910515,767.209381,767.209381,767.209381,991.7257904,991.7257904,1078.318932,1191.239748,1191.239748,1053.240643,1053.240643,888.6475179
871.3545917,767.1053808,767.1053808,767.1053808,991.4567384,991.4567384,1078.026387,1191.078267,1191.078267,1053.097869,1053.097869,888.527056
871.8275115,767.1053808,767.1053808,767.1053808,991.9948425,991.9948425,1078.611476,1191.078267,1191.078267,1053.097869,1053.097869,888.527056
